EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:01:01"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,Biomass

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,3.115465,10.53687,3.009107,2.010996,1.476625,3.640806,4.197704,2.568666,4.697534,27.48914,1.464774,4.253523,5.296015,5.617923,0.0001935784,0.1079278,0.6128694,0.5293518,3.95E-07,0.0014575,3258.618,4659.947
2,3.106002,11.91291,3.2684,2.305219,1.600377,3.928888,4.969081,2.785749,4.711457,27.58996,1.566959,4.441509,5.528238,5.72525,0.0002101474,0.1090867,0.6231282,0.5412253,3.95E-07,0.0014575,3263.619,4678.561
3,3.095552,12.62648,3.486963,2.522448,1.687589,4.210924,5.612009,3.072599,4.731629,27.6949,1.669277,4.675636,5.805566,5.871252,0.0002247083,0.1108761,0.6353092,0.55422,3.95E-07,0.0014575,3269.664,4702.883
4,3.086004,12.96784,3.647446,2.668674,1.747827,4.452537,6.051307,3.397066,4.758583,27.8085,1.750679,4.927225,6.08285,6.045818,0.0002329678,0.1131274,0.64827,0.5680907,3.95E-07,0.0014575,3276.14,4730.273
5,3.078157,13.11465,3.75667,2.757263,1.786012,4.640139,6.319287,3.728996,4.791878,27.93235,1.810406,5.173716,6.344744,6.238384,0.0002361551,0.1156484,0.6612555,0.5826162,3.95E-07,0.0014575,3282.713,4759.156
6,3.07214,13.16624,3.827724,2.800438,1.805725,4.771224,6.467668,4.042741,4.830665,28.06632,1.856605,5.400609,6.593617,6.439625,0.0002357586,0.118278,0.6739066,0.5976586,3.95E-07,0.0014575,3289.213,4788.635
7,3.067774,13.17522,3.873044,2.808825,1.810499,4.849344,6.538938,4.318521,4.873988,28.20934,1.899306,5.600102,6.839228,6.6419,0.0002332859,0.1209089,0.6861189,0.613166,3.95E-07,0.0014575,3295.559,4818.22
8,3.064779,13.16807,3.90232,2.790958,1.803555,4.880654,6.562036,4.542418,4.920928,28.35996,1.947319,5.768974,7.093047,6.839157,0.0002299908,0.1234886,0.6979139,0.6291491,3.95E-07,0.0014575,3301.719,4847.658
9,3.062877,13.15732,3.922379,2.753223,1.787515,4.871854,6.554995,4.705601,4.970672,28.51658,2.007174,5.906812,7.365574,7.026683,0.0002267339,0.1260088,0.7093647,0.6456594,3.95E-07,0.0014575,3307.683,4876.824
10,3.061826,13.14837,3.937723,2.700241,1.764405,4.829213,6.528472,4.803373,5.022529,28.67769,2.082908,6.014753,7.665111,7.200848,0.0002240214,0.128491,0.7205634,0.6627713,3.95E-07,0.0014575,3313.448,4905.661
