EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:58:36"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,ConsumptionBiomass

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,0,0,367.6155,58.98186,72.12457,28.77152,81.45332,24.73455,31.91742,10.71743,12.37313,5.75378,5.447374,2.239503,74.59065,12.87067,5.821971,3.85798,36.35336,5.013164,0,0
2,0,0,376.7776,58.40151,71.90889,29.02886,80.26492,25.86029,31.98764,10.71745,13.00723,6.211137,5.745706,2.375241,74.50713,13.05432,5.97374,3.930856,36.85036,5.060231,0,0
3,0,0,375.5081,57.10855,71.10206,28.42207,77.83637,25.88859,32.07858,10.72947,12.63958,6.425289,5.715049,2.478559,73.46993,13.18929,6.079856,4.006433,37.12388,5.071705,0,0
4,0,0,371.6218,55.97573,70.21716,27.62262,75.9099,25.33466,32.16956,10.74622,11.8771,6.458761,5.481266,2.545982,72.8191,13.21019,6.097834,4.059578,37.18687,5.063987,0,0
5,0,0,367.8001,55.18566,69.5339,26.91094,74.64772,24.52309,32.25029,10.76345,11.17085,6.37464,5.206525,2.579447,72.30801,13.12887,6.062005,4.095166,37.16177,5.053861,0,0
6,0,0,364.7865,54.78231,69.18753,26.38875,73.91282,23.66535,32.31683,10.77904,10.67173,6.230399,4.96928,2.585547,71.98166,12.97753,6.003335,4.120978,37.13321,5.04886,0,0
7,0,0,362.6214,54.74564,69.20535,26.07845,73.55214,22.87849,32.36874,10.79214,10.38901,6.063711,4.79407,2.571324,71.8293,12.79212,5.940376,4.14367,37.14299,5.051217,0,0
8,0,0,361.1285,55.03425,69.56596,25.9718,73.4513,22.21694,32.40728,10.8026,10.28064,5.895151,4.68067,2.542662,71.79009,12.6027,5.881709,4.167629,37.20111,5.060507,0,0
9,0,0,360.1009,55.6076,70.23553,26.05197,73.53456,21.7002,32.43435,10.81063,10.29207,5.734375,4.61952,2.504012,71.79814,12.4298,5.830481,4.195262,37.30294,5.075384,0,0
10,0,0,359.363,56.43316,71.18193,26.30245,73.75439,21.33107,32.45198,10.81659,10.37196,5.584969,4.598607,2.458596,71.80241,12.28483,5.78754,4.22768,37.44222,5.094676,0,0
11,0,0,358.7844,57.48618,72.37733,26.70984,74.08179,21.10581,32.46203,10.8209,10.47881,5.44752,4.606306,2.408716,71.78235,12.17203,5.752899,4.265236,37.6171,5.117881,0,0
12,0,0,358.2756,58.74675,73.79594,27.26389,74.49883,21.01938,32.46611,10.82396,10.58329,5.321397,4.632527,2.356057,71.81132,12.09086,5.726228,4.307832,37.83035,5.14519,0,0
13,0,0,354.2915,60.54096,75.13879,27.6296,74.23013,20.79202,32.45346,10.82245,10.71506,5.238542,4.68258,2.303483,71.81657,12.00533,5.726724,4.344804,38.03521,5.169408,0,0
14,0,0,352.7816,61.48806,76.79984,28.39354,74.74514,20.79768,32.43608,10.81939,10.59221,5.038312,4.669023,2.226738,73.45789,11.96424,5.712292,4.396913,38.29993,5.197939,0,0
15,0,0,352.4534,63.14078,78.71856,29.38319,75.55003,21.05638,32.4139,10.81486,10.57812,4.900678,4.686317,2.159577,85.70937,11.94487,5.691339,4.441384,38.5844,5.235859,0,0
